address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
1An8dwFC852HjZeMC8xUdPacre8SuT4VdW,0,387874556,387874556,12,0.0,0,12,12,3696370,64645759.333333336,0,miner
1AnfHkudyzPCsF2oUDrBL6GqdzCaMdLkvA,0,822433004,822433004,1037,0.0,0,1037,200,73574865,1152167.0,0,exchange
1Anfq9GhxKctg6zy4wVSBGDAJWv4djEjLb,0,2000000,2000000,2,0.0,0,2,2,761548,2000000.0,0,miner
1AnGcz1WG3ys9WP7U8fEyfo9BS2sNvYBn3,0,387377,387377,2,0.0,0,2,2,762427,387377.0,0,services
1AnJ6zaZ1rfuPsVfwqQK998u8gEFiC26nq,10409451,27339451,16930000,3,10409451.0,0,3,3,1539812,14756483.666666666,0,services
1ANSbfSYzVPqusHhWWdEqbrWX4zkDUMaZy,0,22158912,22158912,6,0.0,0,6,6,2287723,7386304.0,0,miner
1Ao1LuaT7BAY1khyVw2jsCHyLrmyAziH16,2870000,38100000,35230000,3,2870000.0,0,3,3,1660376,24443333.333333332,0,services
1AoNXc3vejuYUdt6naBPjZctPnppgbvEyF,0,1532623,1532623,2,0.0,0,2,2,761565,1532623.0,0,miner
1AoPPVvtnePP6SyecFNUcwSS5ua26TxKd1,2730,7644,4914,23,2730.0,0,23,23,8308017,546.0,0,exchange
1AoqXMEXAmyDE1cbuYYZo4fZiYWcAFk6KD,0,117957000,117957000,34,0.0,0,34,48,29857024,4914875.0,1,gambling
1AowHtEo1hRtpyf9MdUQJAzkPAu9UPtbiy,0,82379988,82379988,30,0.0,0,30,30,11640284,5491999.2,0,miner
1AP372c6TM9wm2EKGk8D3MUeKAX9uHgVUS,0,67138101,67138101,14,0.0,0,14,14,4755129,9591157.285714284,1,gambling
1AP5UMCBreC1oUk5cbVrzn5hkYLM7owwqU,0,6266142,6266142,2,0.0,0,2,2,761583,6266142.0,0,exchange
1Ap7BmaEcYzGCNJUfjJaVMQ89X36GJDpKD,0,18982740,18982740,7,0.0,0,7,8,3069978,4745685.0,0,miner
1APaAaqa86zP1g8MsLt9qDwunHk1YYKvcr,0,2796627499,2796627499,1025,0.0,0,1025,200,74414147,351325.195,0,services
1APAC2zBm6bMFZ5QP7GP5aaVtHZ5EoXPjm,0,17005032,17005032,192,0.0,0,192,192,67358682,177135.75,0,miner
1APh66zhtTVCggg4B6gFYx9su2GjfYg5Nb,0,4224267,4224267,4,0.0,0,4,4,1480094,2112133.5,0,exchange
1APKTegnCHV8SZpkQ9npMdBLeFJg6ZdN1y,0,16658910,16658910,4,0.0,0,4,4,1483024,8329455.0,0,exchange
1ApqNoqYpGyT7wPMW3LCpZeXeaxLmzLyp,0,22372413222,22372413222,332,0.0,0,332,200,79509953,95728631.41,0,miner
1ApTf5egm4pVg6UqzKhWb22uGC3tuNZHUu,0,37871125,37871125,162,0.0,0,162,162,82175121,467544.7530864198,1,gambling
1AptMFu2ZKjDF7mqBD8sVsaURFrSUEhurH,0,173134101,173134101,16,0.0,0,16,16,6262118,21641762.625,0,miner
1Apvtw47Z8T3dWCQqS2G7oK8XkHfPkB1DK,0,205783512700,205783512700,183,0.0,0,183,200,51601295,2032675377.0,0,exchange
1aPvuGEK4R3fEg445H4kDQTxsQbWcPeTt,0,103008543,103008543,12,0.0,0,12,12,4587941,17168090.5,0,exchange
1ApwVfgK1KxXiZyzkrn8EdccvXmaN6746S,0,1974380,1974380,2,0.0,0,2,2,761576,1974380.0,0,miner
1AQ8WhvQ51KmN47i9juoEFzj4yFwDauoCb,0,222968276,222968276,34,0.0,0,34,34,13157427,13115780.94117647,0,exchange
1AQFfDLXPPnf3XyBoTctUXrA16yiFvjgvi,0,1013602480,1013602480,2,0.0,0,2,2,1111696,1013602480.0,0,coinjoin-like
1AqfYcJXErsXCSUDZiZaiF43eHJiRwFePg,0,47824000,47824000,169,0.0,0,169,200,84372200,409790.0,1,gambling
1Aqg8nYdr9qMVuCLSYDMvPckckDbtZeRM,0,138445777,138445777,91,0.0,0,91,112,60554773,2472246.0178571427,1,gambling
1AqJjUWfiCWgCKA4wukMJRwXijShB2CqK8,0,13816623,13816623,14,0.0,0,14,14,5540156,1973803.2857142857,0,exchange
1AqjQL7TG7sMQmNLrnGrzg7LgUmFJ1tkhF,0,17923936,17923936,14,0.0,0,14,14,5175015,2560562.285714286,0,miner
1AQLFmxvoxRi45eZYgYqEo7E1Lx4frYks1,0,19243027,19243027,20,0.0,0,20,20,7632992,1924302.7,0,miner
1AQmoEAHR5BPAiFGUFyZQf7xGKBP1dytSD,0,230856942,230856942,504,0.0,0,504,200,103805957,1282432.36,1,gambling
1AQpTuEtf1av6P73VrBHxKthnqMKR21FTa,0,25200000000,25200000000,58,0.0,0,58,102,70236448,494117647.0588235,0,coinjoin-like
1AQqv6HBEUEzK94kuL7M99yVfpF7pYyyJ8,0,1000460,1000460,2,0.0,0,2,2,1005839,1000460.0,0,coinjoin-like
1aQRgXekUsDDcSpqtnBUWnyfuNLUQCPd3,0,33380168,33380168,150,0.0,0,150,152,78289378,439212.7368421053,1,gambling
1aQt1VXUTAyB2rW22x7pQjDwXxu9t9qhE,0,24096513,24096513,85,0.0,0,85,90,53179688,535478.0666666667,0,coinjoin-like
1AQtfouEbTypdcMvfmJ5n6L36f77gyVZkE,4592804,5089391,496587,12,4592804.0,0,12,12,5393519,465498.1666666667,1,gambling
1AqTMY7kmHZxBuLUR5wJjPFUvqGs23sesr,87301,13258295086901,13258294999600,9321,87301.0,0,9321,200,114257621,2345066435.59,0,mining_pool
1AQvFqE2F78WQK6vvKSu5Ro83QGcvgCkaN,0,8267337,8267337,2,0.0,0,2,2,761557,8267337.0,0,miner
1AR9rjd5fGiBJmH8rdTCeh2pHyVzYzbGSc,0,113444297,113444297,13,0.0,0,13,14,5304043,16206328.142857144,0,exchange
1ArBXQbBK6EcZqscof6J9j48DWAgoPHKsr,0,3123584,3123584,2,0.0,0,2,2,761565,3123584.0,0,miner
1ArcNZGhYzcnPGw56VH9dWpuJNEhboyBDv,0,36822525,36822525,903,0.0,0,903,200,69738685,94466.495,1,gambling
1Arg5azW1C2ngRXjz1ep3uGPcuCDAktXT7,0,1710543046,1710543046,85,0.0,0,85,88,52939705,38875978.31818182,0,coinjoin-like
