address,balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,total_received,total_sent,n_tx,final_balance,label,category
1AD5jrSUriWdxKDrj7zVcYFV4DfcvzpYem,0,0,0,0,0,0,0,0,0,0,1,suspicious
18M5hqoTwhuRyNHURGfe1GSBhBzBPCV4qZ,5000,0,3,3,404003,702019.3333333334,1055529,1050529,3,5000,1,suspicious
16SvdLpyKViWHwhvhPCeoFBGv4ZPxf9659,22866,0,13,25,3286730,2993250.88,37427069,37404203,13,22866,1,suspicious
1BinLH75zKHgymnLDc9NSjMTsZ9rgeaY9M,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1q65etwcj3cf6xeu7vdsxmc3atfrsvmcn5vf8lzf,0,0,2,2,262611,4494791.0,4494791,4494791,2,0,1,suspicious
bc1q0ehsnu26kjp3vkza2uzdqscutkhp69amu5rj78,739051750,0,4282,200,2042419,548019899.035,1266785484562,1265863094254,3821,922390308,1,suspicious
bc1qur0apsa7e9paxqr7fdnmgefwzvu2wqpnftzt0r,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1q9zyzxxn39fjg5plqkeusy2r2e77uv42kdvawmq,0,0,0,0,0,0,0,0,0,0,1,suspicious
122SsT39EAauVg73AJdm6coYXXu9fK8Y6Q,10592,0,2,2,272337,5296.0,10592,0,2,10592,1,suspicious
bc1qtxja4xfc5nlqmvv2ycsfz6p4nnwgyy2hv76cfn,0,0,2,2,259340,2123781.0,2123781,2123781,2,0,1,suspicious
13UHGdWTA12vSP7j9irJgrpuNy2Eew9gtc,0,0,9,16,1979081,19340162.0,154721296,154721296,9,0,1,suspicious
1HRvEcajL3NECy11AZnj9mPLvHB3KKreqp,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1q88u2cju9352d7pne2xhpz26hzgrrkjvxpa2sn0,0,0,4,4,510617,297050.5,594101,594101,4,0,1,suspicious
bc1qa6hty7e5jgdxq0m93r0n8eqs0s5wgtf7ta3gxg,0,0,2,2,257737,44229.0,44229,44229,2,0,1,suspicious
bc1q7hmv5aedwuxzfuddxxwhzww4hmkn8l0j2fw8qm,0,0,3,4,505470,30000000.0,60000000,60000000,3,0,1,suspicious
bc1qwmfk8njf5d2spjmh6knkq3mzx59ehcyzm6hlwy,0,0,185,200,31549559,3240345.66,398040585,398040585,185,0,1,suspicious
bc1q76n4sdzrckcmzz395w0nhktm33mteeylua4gxy,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qr0pddpgxefpnx4tvgrejxsup2r0l0vgj2q3aa9,0,0,7,8,1062469,2257574.0,9030296,9030296,7,0,1,suspicious
1MhN7mpyQqdTaW6zY9hTZ7TZczzJKyHrxE,0,0,45,52,6309961,68635741.73076923,1784529285,1784529285,45,0,1,suspicious
bc1qfcq45tvrkmfp6apjvgvwm7zqwxd68998jtsqhp,0,0,2,2,262622,2399453.0,2399453,2399453,2,0,1,suspicious
bc1qfpymjqwuvsrx9v4rjrxnvlf6cv9wg5pf48u5y5,0,0,2,2,258316,500245.0,500245,500245,2,0,1,suspicious
bc1qywqurkp0amr9e47xgy5r6udcwh7pgv9mhwvznn,0,0,2,2,257852,534170.0,534170,534170,2,0,1,suspicious
bc1qmu4d92h0s2qytnd6cmpw0cq3uvyacgrxfw6fve,0,0,5,6,777689,833607.0,2500821,2500821,5,0,1,suspicious
bc1qqwcsag0tcs9pngamet2q7h43cygghepg9nm8pa,0,0,2,2,262978,507114.0,507114,507114,2,0,1,suspicious
1uR1nPP8HXnaKw23Zz5t97ye2ALWSAHV8,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qmzx5sx70a4kz7k4qgzh883jyx4ax7n2x392vd6,0,0,95,106,15809072,7995441.547169811,423758402,423758402,95,0,1,suspicious
3HGxpx8STf5zLor9iAZjZojKrP3PoHU5wP,0,0,499,200,33484494,2660735.68,520358432,520358432,499,0,1,suspicious
bc1qgfef9nlwffftl6m5qet95yxa0x7arah0h580gs,0,0,21,22,2957015,4168920.727272727,45858128,45858128,21,0,1,suspicious
bc1q53k5hxvhnpxxacf4rjq95pnzc8hn6hzwecyhy9,0,0,6,6,791488,2436591.3333333335,7309774,7309774,6,0,1,suspicious
bc1qjj876ckm5q03l0x6c6kldzxj026epw3a8c7l8a,133872,0,18,31,7129897,534035.8064516129,8344491,8210619,18,133872,1,suspicious
bc1q3sjskyp07cpcucctewqzmtpe2p72jyz8w2lwku,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1q6tru0m2v3uy889ngky4q6cvrm8r028g99yn0pe,4884929500,0,1,1,208898,4884929500.0,4884929500,0,1,4884929500,1,suspicious
bc1qhkvpffz8e4wjhgyeu4gpw08s2ex6ftd6vsk3f9,0,0,0,0,0,0,0,0,0,0,1,suspicious
134s4sGWJgSAwDyFMPrb8HnvduhZ5J23Xy,0,0,48,92,11953212,4530899.130434782,208421360,208275622,47,145738,1,suspicious
12G9pV8v1mEHGJ3DTC7BZTQ6A48NSJyUDx,0,0,0,0,0,0,0,0,0,0,1,suspicious
1B5XymUoDerPHA1gvQ4qKzaRLAjkQuBW7x,0,0,12,20,498253,1123901.5,266324,266324,2,0,1,suspicious
bc1qxgynsjs6w7ar5cepwvfdskrwhx2pv4av9lnzn8,0,0,4,4,524999,433586.5,867173,867173,4,0,1,suspicious
bc1qm7juyf7tf6f54rmcmfkf5l9ue356fqtystn4pj,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qr4hsu3cd7s5vs502ls5cemsvju9qw5fms97gmh,0,0,2,2,261504,2973093.0,2973093,2973093,2,0,1,suspicious
1FmKjxWybWDuoD17pKvKaVH81gb5HGBpyP,0,0,3,4,485602,7215877.5,14431755,14431755,3,0,1,suspicious
1Jo66YRYVogrb9htwauuzqTM1Fqpd7EtHb,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qgk942wlutgvcr2t340d4dmzl78ak5tgvzdgwy4,0,0,0,0,0,0,0,0,0,0,1,suspicious
1BbqZra2vqvKZKNqYbpbRBsEo45TqDQAoG,0,0,28,54,7061748,2134460.703703704,57630439,57630439,28,0,1,suspicious
1D1kf3SFJBeGnMUaYY9LuPCv2kX1KNtCVm,0,0,0,0,0,0,0,0,0,0,1,suspicious
1KphGNYGSUzbwPxTk5fQ5nKMwqHtVkkb4q,0,0,142,200,26276813,1550824.77,217881692,217881692,142,0,1,suspicious
bc1qpxucqg8flf7mpxwlu882gsxee2kx5hnkl3kw5a,0,0,19016,200,26018573,67650131.91,421682795598,421682795598,19016,0,1,suspicious
1BF3tKSxpz8iXQ2ccUJedhQ5S3Dj91bYHP,0,0,16,18,2677287,962882.6666666666,8665944,8665944,16,0,1,suspicious
15EcHEAQMtFqVrdDXWdg3Xpitn7uN3qgmE,0,0,6,10,1297726,3869917.0,19349585,19349585,6,0,1,suspicious
bc1qqls2syqrcahwwv6s4tuccg4h49wrnuk09ncakq,0,0,0,0,0,0,0,0,0,0,1,suspicious
1GLjDRSRzqfZtXrFdnvC1KXEKpHNvakzSp,0,0,2,2,240324,11686763.0,11686763,11686763,2,0,1,suspicious
1YAR6opJCfDjBNdn5bV8b5Mcu84tv92fa,2266,0,10,11,1446496,3944241878.5454545,21693331465,21693329199,10,2266,1,suspicious
bc1q0g8hyvz64jya0pgtaltz97tz327ju28hqvsdf3,0,0,65,118,11863218,549694.3389830509,30949415,30883119,58,66296,1,suspicious
1A6hsBcVUZs72Hz7EwTLPASAwq6Z1qtJMb,0,0,1159,300,37758760,382356.30666666664,603962405,603962405,1157,0,1,suspicious
3JEk9g87E9CEnxNWk1foxyVW27YEAmqaWQ,1405640332,0,1789,200,6009378,576940845.5,11175309550611,11169582364201,1668,5727186410,1,suspicious
bc1qah7tz98jt96vmak58dfngfy2kfnq4t5h503ddu,0,0,451,201,18592339,402975.0298507463,172876987,172876987,429,0,1,suspicious
bc1qjljp3mf3y6wxas3se9jfnau35mwj68xj4ve3xa,0,0,14,16,2469852,151412.375,1211299,1211299,14,0,1,suspicious
bc1q386fgf8s5xvvqvv4zsukmntanyu2jwl3leuvk7,0,0,8,8,1063135,3556154.5,14224618,14224618,8,0,1,suspicious
bc1q9rtl7tpva9r6muj3erg3ehxnr0vyyys9c9655v,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qd8488ntjyufjs9cxvydyz2at3xpqzzkj2ufa25,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1q7rppg4qzm4h3p8dgvtu63lxk6wzrna4lxsjlf5,0,0,4,4,556536,320087449.0,640174898,640174898,4,0,1,suspicious
1PTpQaAG2G4zcuXHYCSQixuU9JyVcxM52e,0,0,0,0,0,0,0,0,0,0,1,suspicious
3AJbVxC3ucmrGyeztFZ7ybSfscqUm3Bip9,0,0,0,0,0,0,0,0,0,0,1,suspicious
1FRXdWEtGtQs3wbQyBXqRvM2JtWEQ4LaDH,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qkgvdzzlkd6mmyx5js6vn69jt7nn8085x3zgaha,0,0,597,300,39148500,125168.3,75296208,75296208,597,0,1,suspicious
1Ese6NtbusHk8gKjeEuDAL3swAZhFAE3up,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1q327gncatjffcj8tr5tax8c6qzadgsaqah2pe45,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qdygwtd4z0cnu4lm9jnfq6lek0t4qqvn0slyd3m,0,0,10,10,1323548,3542199.4,17710997,17710997,10,0,1,suspicious
1HSCTxnpWn2s92BmTuSchzNhaq8fj3XYhs,0,0,0,0,0,0,0,0,0,0,1,suspicious
1JfLh2hiCYExsvQeSvJQeSrFJay9hh1bnt,180000,0,10,17,2231202,9637602.11764706,82009618,81829618,10,180000,1,suspicious
bc1qjmh80ud2ac7men5ca8ly8kmjhgtgujw8226c6g,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qd4dlv557rdklhey7vfn86q37rmcr36vgay9ax8,0,0,95,110,14423541,3697822.018181818,203380211,203380211,95,0,1,suspicious
1KYB5iPPiDsAPPQRYSNX15MRogshvshtrZ,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qcwpsj2nxagh27yw9r4m5a459ja8mfa8z278c6d,0,0,246,200,26733724,760485.48,192663549,192663549,243,0,1,suspicious
1LipMCKKpW3pncQrxN5b9wC3yCYMM6YJuS,0,0,31,58,7372052,1329682.551724138,38560794,38524748,30,36046,1,suspicious
bc1q3t8tppcfgs67lpu5vkzlakpclcljsa56094ml4,0,0,2,2,262960,1531925.0,1531925,1531925,2,0,1,suspicious
3Fsxkx3GUszggLqS7FXX3SJCM7DB2WxhKd,0,0,4,4,440031,313012.5,626025,620000,3,6025,1,suspicious
14bHgeqQQErEesdqszVv4mD5ggxxeBZ6fG,13385610,0,6,6,787815,2230935.0,13385610,0,6,13385610,1,suspicious
15WP7UmdtjmRHKqQW2SNszEQxzqnZhDPHD,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1qzsunx7udfhukc03tw4qaqschuwxw7txfpp8w3u,0,0,0,0,0,0,0,0,0,0,1,suspicious
bc1ql5sxutpkstwzg5g723jyuvj6w8ls63xc74f6xq,0,0,8,12,1830575,201646.16666666666,1209877,1209877,8,0,1,suspicious
